,job_titles,companys,location,employment_type,gov_support,salary,salary_unit,links,industrys
226,Implementation Engineer,TOOKITAKI HOLDING PTE. LTD.,Central,Middle Management,NA,"$8,000to$12,000",Monthly,https://www.mycareersfuture.sg/job/implementation-engineer-tookitaki-holding-327b3a40dc10f03d51033659c90b1117,Information Technology
227,Product Manager,TOOKITAKI HOLDING PTE. LTD.,Central,Middle Management,NA,"$12,000to$15,000",Monthly,https://www.mycareersfuture.sg/job/product-manager-tookitaki-holding-8333f25c8c1f8327117267e2a9285586,Information Technology
228,"VP, Sales",TOOKITAKI HOLDING PTE. LTD.,Central,Senior Management,NA,Salary undisclosed,,https://www.mycareersfuture.sg/job/vp-sales-tookitaki-holding-e297cb742e4671bb44cf48036c6f122a,Sales / Retail 
229,"Key Account Manager ($3500 – 5500, 5 Days, River Valley)",MACHSPEED HUMAN RESOURCES PTE. LTD.,Central,Executive,NA,"$3,500to$5,500",Monthly,https://www.mycareersfuture.sg/job/key-account-manager-machspeed-human-resources-8f26e309980df44c442d520221510819,Information Technology ...
230,Application Developer - Full Stack Developer,PALO IT SINGAPORE PTE. LTD.,Central,Executive,NA,"$5,000to$10,000",Monthly,https://www.mycareersfuture.sg/job/application-developer-full-stack-developer-palo-singapore-9090cebd338fac1fe3cf535c6552e7a1,Information Technology
231,"Key Account Manager ($3500 – 5500, 5 Days, River Valley)",MACHSPEED HUMAN RESOURCES PTE. LTD.,Central,Executive,NA,"$3,500to$5,500",Monthly,https://www.mycareersfuture.sg/job/key-account-manager-machspeed-human-resources-d0774d5f84e02a5274905b279b904c61,Information Technology ...
232,Senior Principal Business Consultant,ASPENTECH PTE. LTD.,South,Professional,NA,"$140,000to$207,000",Annually,https://www.mycareersfuture.sg/job/senior-principal-business-consultant-aspentech-5fac17f6fb86ef6f7f7697a2c1767e6b,Consulting 
233,"VP, Sales",ASPENTECH PTE. LTD.,South,Senior Management,NA,"$280,000to$405,000",Annually,https://www.mycareersfuture.sg/job/vp-sales-aspentech-dbe12dc833aac79f3ccccb02c491b983,Others
234,Senior Software Engineer,AFFLE INTERNATIONAL PTE. LTD.,South,Senior Executive,NA,"$4,000to$5,000",Monthly,https://www.mycareersfuture.sg/job/senior-software-engineer-affle-international-2663eb97941ceeaeb8f39923dad7c00a,Engineering
235,Emerging Technology Lead,TECHNOPALS PTE. LTD.,Central,Professional,NA,"$6,000to$9,000",Monthly,https://www.mycareersfuture.sg/job/emerging-technology-lead-technopals-d9ba7c521b426fefdd84a2186a6d6237,Information Technology
236,"Key Account Manager - IT solutions ($3500 – 5500, 5 Days, River Valley)",MACHSPEED HUMAN RESOURCES PTE. LTD.,Central,Professional,NA,"$3,500to$5,500",Monthly,https://www.mycareersfuture.sg/job/key-account-manager-solutions-machspeed-human-resources-b95379e6d394aac32f7bec8ad46b5bb6,Information Technology ...
237,Recruitment Consultant - Technology ( Cyber Security),NEXTWAVE PARTNERS PTE. LTD.,Central,Executive,NA,"$3,500to$4,500",Monthly,https://www.mycareersfuture.sg/job/recruitment-consultant-technology-nextwave-partners-df22fd42fabf4022137655acc4c0d3d0,Consulting  ...
238,"Key Account Manager ($3500 – 5500, 5 Days, River Valley)",MACHSPEED HUMAN RESOURCES PTE. LTD.,Central,Executive,NA,"$3,500to$5,500",Monthly,https://www.mycareersfuture.sg/job/key-account-manager-machspeed-human-resources-2b4e1676a17a5c8ce66ba72ff383af0a,Information Technology ...
239,Technical Account Manager,MICROSOFT REGIONAL SALES PTE. LTD.,NA,Non-executive,NA,"$7,500to$10,500",Monthly,https://www.mycareersfuture.sg/job/technical-account-manager-microsoft-regional-sales-730707967a6a95e331594bfb277b0d30,Information Technology
240,Senior Application Designer - Lead / Senior UX Designer,PALO IT SINGAPORE PTE. LTD.,Central,Manager ...,NA,"$7,000to$14,000",Monthly,https://www.mycareersfuture.sg/job/senior-application-designer-lead-senior-ux-designer-palo-singapore-bc9ad9d75493281d512759d4f6c8006b,Information Technology
241,Application Designer - UX Designer,PALO IT SINGAPORE PTE. LTD.,Central,Manager ...,NA,"$7,000to$14,000",Monthly,https://www.mycareersfuture.sg/job/application-designer-ux-designer-palo-singapore-bf2d1e7513d9a09651c3fe4fde34664a,Information Technology
242,"AVP,  QA Lead, Middle Office Technology, Technology and Operations (WD00414)",DBS BANK LTD.,East,Senior Management,NA,"$6,500to$11,700",Monthly,https://www.mycareersfuture.sg/job/avp-qa-lead-middle-office-technology-technology-operations-dbs-bank-21664ee793f472b292c807ace8a32548,Information Technology
243,"Senior Associate, QA Lead, Middle Office Technology, Technology and Operations (WD00414)",DBS BANK LTD.,East,Senior Management,NA,"$5,000to$10,000",Monthly,https://www.mycareersfuture.sg/job/senior-associate-qa-lead-middle-office-technology-technology-operations-dbs-bank-0df34f5c3c0e54ca277e591734bcc157,Information Technology
244,"Key Account Manager ($3500 – 5500, 5 Days, River Valley)",MACHSPEED HUMAN RESOURCES PTE. LTD.,Central,Executive,NA,"$3,500to$5,500",Monthly,https://www.mycareersfuture.sg/job/key-account-manager-machspeed-human-resources-cd32a928d5ea9ae19c26bb110a22de34,Information Technology ...
245,"Key Account Manager - IT solutions ($3500 – 5500, 5 Days, River Valley)",MACHSPEED HUMAN RESOURCES PTE. LTD.,Central,Professional,NA,"$3,500to$5,500",Monthly,https://www.mycareersfuture.sg/job/key-account-manager-solutions-machspeed-human-resources-6b0a98fea380aa154becd9b9b0ac9fe2,Information Technology ...
246,"AVP, PCF Developer, Middle Office Technology, Technology and Operations (180005CY)",DBS BANK LTD.,East,Senior Management,NA,"$6,500to$11,700",Monthly,https://www.mycareersfuture.sg/job/avp-pcf-developer-middle-office-technology-technology-operations-dbs-bank-44ca0d66159d0af4fc2e8a823035ab9a,Information Technology
247,"Key Account Manager ($3500 – 5500, 5 Days, River Valley)",MACHSPEED HUMAN RESOURCES PTE. LTD.,Central,Executive,NA,"$3,500to$5,500",Monthly,https://www.mycareersfuture.sg/job/key-account-manager-machspeed-human-resources-fa9ad95300ba595a4268c98bf59c2155,Information Technology ...
248,Apps Dev Senior Programmer Analyst-18012492,CITIBANK N.A.,NA,Middle Management,NA,"$6,666to$11,208",Monthly,https://www.mycareersfuture.sg/job/apps-dev-senior-programmer-analyst-18012492-citibank-na-fcf705e26bc49e9a540cb94ba7196fbd,Banking and Finance
249,Principal Infocomm Specialist (Enterprise Architect),Inland Revenue Authority of Singapore,NA,Professional,NA,"$4,000to$9,100",Monthly,https://www.mycareersfuture.sg/job/principal-infocomm-specialist-inland-revenue-authority-singapore-20b0cb4b460b088b160fb14a450ed1be,Information Technology ...
