,job_titles,companys,location,employment_type,gov_support,salary,salary_unit,links,industrys
98,Junior Data Analyst,STREETSINE SINGAPORE PTE. LTD.,Central,Junior Executive,NA,"$3,500to$4,500",Monthly,https://www.mycareersfuture.sg/job/junior-data-analyst-streetsine-singapore-32ed1ebc87edb12e3e84d712f50a66a5,Information Technology
99,"Manager, Data and Analytics, Advisory",ERNST & YOUNG ADVISORY PTE. LTD.,Central,Manager,NA,"$6,000to$12,000",Monthly,https://www.mycareersfuture.sg/job/manager-data-analytics-advisory-ernst-young-advisory-727ec63e9e5c2537d3daf49f8384af07,Information Technology
100,Data Engineer,THALES SOLUTIONS ASIA PTE. LTD.,Central,Executive,NA,"$5,000to$7,000",Monthly,https://www.mycareersfuture.sg/job/data-engineer-thales-solutions-asia-a61acadd3a13cabfa28cbd6ed9839dda,Engineering
101,Data Science Lead,TRAVELOKA SERVICES PTE. LTD.,NA,Manager,NA,"$10,000to$15,000",Monthly,https://www.mycareersfuture.sg/job/data-science-lead-traveloka-services-02815e03a30f3de4a413614bb97affe1,Information Technology
102,"Vice President, Data Science",LAZADA SOUTH EAST ASIA PTE. LTD.,Central,Middle Management,NA,"$9,000to$13,500",Monthly,https://www.mycareersfuture.sg/job/vice-president-data-science-lazada-south-east-asia-f6b651f8295d130aa749e57c339b5402,Information Technology
103,"Data Engineer, Data Governance (1 Year Contract)",AIA SINGAPORE PRIVATE LIMITED,Central,Professional,NA,"$6,000to$8,000",Monthly,https://www.mycareersfuture.sg/job/data-engineer-data-governance-aia-singapore-3c1e204c62ae5e831344b691bbfcd24e,Banking and Finance ...
104,"Senior Executive, Data Services",Singapore Land Authority,NA,Fresh/entry level,NA,"$2,800to$5,600",Monthly,https://www.mycareersfuture.sg/job/senior-executive-data-services-singapore-land-authority-5505d4c60eea9aaa459088198ef26207,Information Technology ...
105,Data Engineer,LINKSURE NETWORK HOLDING PTE. LIMITED,NA,Senior Executive,NA,"$6,000to$10,000",Monthly,https://www.mycareersfuture.sg/job/data-engineer-linksure-network-holding-b77c32f935acfda41f1130f81cb00381,Information Technology
106,"Senior Manager, Data Engineer",LAZADA SOUTH EAST ASIA PTE. LTD.,Central,Manager,NA,"$9,000to$13,000",Monthly,https://www.mycareersfuture.sg/job/senior-manager-data-engineer-lazada-south-east-asia-d10b977e8ab9f32f8692dd165d59afcc,Information Technology
107,Azure Data Analyst,CAPGEMINI SINGAPORE PTE. LTD.,Central,Professional,NA,"$5,500to$7,000",Monthly,https://www.mycareersfuture.sg/job/azure-data-analyst-capgemini-singapore-9ec2ca7694aef9ad2b33fda830a55ba6,Information Technology
108,ETL Developer (ITSR),OVERSEA-CHINESE BANKING CORPORATION LIMITED,East,Manager ...,NA,"$5,000to$10,000",Monthly,https://www.mycareersfuture.sg/job/etl-developer-oversea-chinese-banking-corporation-fd80dff7c915e7eb11a70c1ee9ef5f41,Information Technology
109,Fab10 Data Science Engineer / Data Scientist,Company Undisclosed,NA,Non-executive,NA,"$3,400to$6,800",Monthly,https://www.mycareersfuture.sg/job/fab10-data-science-engineer-data-scientist-f124afe02461232910319d013508cd46,Engineering ...
110,Data Scientist,Company Undisclosed,NA,Manager,NA,"$7,000to$9,000",Monthly,https://www.mycareersfuture.sg/job/data-scientist-4a040a2d7d0cb93c587bab4aed8de8f8,Information Technology
111,Data Scientist,Company Undisclosed,NA,Manager,NA,"$6,000to$8,000",Monthly,https://www.mycareersfuture.sg/job/data-scientist-22e59ee024c1532bc5d7e3f6076f2b75,General Management
112,SENIOR DATA SCIENTIST,Company Undisclosed,NA,Senior Executive,NA,"$7,000to$9,500",Monthly,https://www.mycareersfuture.sg/job/senior-data-scientist-ca5b551c2229799ef2782484c6115502,Engineering ...
113,Data Scientist,Company Undisclosed,NA,Manager ...,NA,"$5,500to$6,200",Monthly,https://www.mycareersfuture.sg/job/data-scientist-2ba6ab6d26a7371e04f6947e2e0efa24,Logistics / Supply Chain
114,Data Engineer (Ref 22998),Company Undisclosed,NA,Executive,NA,"$4,000to$8,000",Monthly,https://www.mycareersfuture.sg/job/data-engineer-e0eba9d699140c67b8dc846981dc0cbf,Information Technology
115,"SVP, Big Data and Customer Experience Optimisation",Company Undisclosed,NA,Senior Management,NA,"$15,000to$20,000",Monthly,https://www.mycareersfuture.sg/job/svp-big-data-customer-experience-optimisation-4386ba3eaaffd75d2b1256d57b1fb7e1,Banking and Finance
